CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F996,F997,F998,F999,F1000,F1001,F2384,F323339,
24366,E01005243,Manchester 024B,Lower Super Output Areas and Data Zones,LSOADZ,1084,260,364,299,143,18,2463,2227,
24367,E01005244,Manchester 025C,Lower Super Output Areas and Data Zones,LSOADZ,926,306,324,223,65,8,2938,2617,
24368,E01005245,Manchester 024C,Lower Super Output Areas and Data Zones,LSOADZ,871,163,281,291,128,8,2410,2281,
24369,E01005246,Manchester 024D,Lower Super Output Areas and Data Zones,LSOADZ,738,142,272,200,108,16,2139,1831,
24370,E01005247,Manchester 005A,Lower Super Output Areas and Data Zones,LSOADZ,627,231,214,153,28,1,1454,925,
24371,E01005248,Manchester 005B,Lower Super Output Areas and Data Zones,LSOADZ,573,234,202,117,20,0,1369,801,
24372,E01005249,Manchester 005C,Lower Super Output Areas and Data Zones,LSOADZ,777,293,237,169,69,9,1846,1336,
24373,E01005250,Manchester 005D,Lower Super Output Areas and Data Zones,LSOADZ,750,212,245,220,67,6,1781,1448,
24374,E01005251,Manchester 003D,Lower Super Output Areas and Data Zones,LSOADZ,633,195,212,161,63,2,1594,1388,
24375,E01005252,Manchester 003E,Lower Super Output Areas and Data Zones,LSOADZ,763,196,237,249,78,3,1834,1336,
24376,E01005253,Manchester 005E,Lower Super Output Areas and Data Zones,LSOADZ,639,156,227,181,69,6,1585,1224,
24377,E01005254,Manchester 005F,Lower Super Output Areas and Data Zones,LSOADZ,683,315,205,115,48,0,1598,962,
24378,E01005255,Manchester 012D,Lower Super Output Areas and Data Zones,LSOADZ,824,159,245,281,124,15,1609,1219,
24379,E01005256,Manchester 011A,Lower Super Output Areas and Data Zones,LSOADZ,854,204,269,254,110,17,1995,2535,
24380,E01005257,Manchester 011B,Lower Super Output Areas and Data Zones,LSOADZ,820,147,257,264,136,16,1798,4005,
24381,E01005258,Manchester 011C,Lower Super Output Areas and Data Zones,LSOADZ,781,219,260,213,76,13,1707,1304,
24382,E01005259,Manchester 011D,Lower Super Output Areas and Data Zones,LSOADZ,782,166,254,210,137,15,1602,1409,
24383,E01005260,Manchester 011E,Lower Super Output Areas and Data Zones,LSOADZ,592,226,191,126,43,6,1499,1016,
24384,E01005261,Manchester 012E,Lower Super Output Areas and Data Zones,LSOADZ,651,105,205,225,107,9,1642,1399,
24385,E01005262,Manchester 044B,Lower Super Output Areas and Data Zones,LSOADZ,861,371,243,184,57,6,1841,1112,
24386,E01005263,Manchester 046A,Lower Super Output Areas and Data Zones,LSOADZ,825,290,242,188,92,13,1633,2538,
